Wavelength (nm),6803_P,7942_P,7120_P,cc124_P,Arabidopsis_P,Phaeodactylum_P,Symbiodinium_P,R. palustris_P,Sphingomonas,E. coli mScarlett,B. subtilis mTurqouise,V. natriegens sfGFP
516,0.15,0.162,0.218,0.18,0.076,0.212,0.136,0.14,0.17,0.252,0.201,0.21
517,0.149,0.161,0.218,0.179,0.075,0.212,0.136,0.14,0.169,0.251,0.2,0.209
518,0.149,0.16,0.217,0.178,0.074,0.211,0.136,0.139,0.168,0.251,0.199,0.208
519,0.148,0.159,0.217,0.177,0.073,0.211,0.136,0.139,0.167,0.25,0.199,0.208
520,0.148,0.158,0.217,0.175,0.071,0.211,0.135,0.138,0.166,0.25,0.198,0.207
521,0.147,0.157,0.216,0.174,0.07,0.21,0.135,0.137,0.166,0.249,0.197,0.206
522,0.147,0.155,0.216,0.173,0.069,0.21,0.135,0.137,0.165,0.249,0.197,0.206
523,0.146,0.154,0.215,0.172,0.068,0.21,0.135,0.136,0.164,0.248,0.196,0.205
524,0.145,0.153,0.215,0.171,0.067,0.209,0.135,0.135,0.163,0.248,0.195,0.204
525,0.145,0.152,0.214,0.17,0.066,0.209,0.134,0.135,0.163,0.247,0.194,0.204
526,0.144,0.151,0.214,0.169,0.065,0.208,0.134,0.134,0.162,0.247,0.194,0.203
527,0.144,0.15,0.214,0.168,0.064,0.208,0.134,0.134,0.161,0.246,0.193,0.202
528,0.143,0.149,0.213,0.167,0.063,0.208,0.134,0.133,0.16,0.246,0.193,0.202
529,0.143,0.148,0.213,0.166,0.063,0.207,0.134,0.133,0.16,0.246,0.192,0.201
530,0.142,0.147,0.213,0.165,0.062,0.207,0.134,0.132,0.159,0.245,0.191,0.2
531,0.142,0.146,0.212,0.165,0.061,0.207,0.134,0.132,0.159,0.245,0.191,0.2
532,0.141,0.145,0.212,0.164,0.061,0.206,0.133,0.131,0.158,0.244,0.19,0.199
533,0.14,0.144,0.211,0.163,0.06,0.206,0.133,0.131,0.157,0.244,0.19,0.199
534,0.14,0.144,0.211,0.163,0.06,0.206,0.133,0.131,0.157,0.243,0.189,0.198
535,0.139,0.143,0.211,0.162,0.059,0.205,0.133,0.131,0.156,0.243,0.188,0.197
536,0.139,0.142,0.211,0.161,0.059,0.205,0.133,0.13,0.155,0.242,0.188,0.197
537,0.138,0.141,0.211,0.161,0.058,0.205,0.133,0.13,0.155,0.242,0.187,0.196
538,0.137,0.14,0.21,0.16,0.058,0.204,0.132,0.13,0.154,0.241,0.187,0.195
539,0.137,0.14,0.21,0.16,0.058,0.204,0.132,0.13,0.154,0.241,0.186,0.195
540,0.136,0.139,0.21,0.159,0.057,0.204,0.132,0.13,0.153,0.24,0.185,0.194
541,0.135,0.139,0.21,0.159,0.057,0.203,0.132,0.129,0.152,0.239,0.185,0.194
542,0.135,0.138,0.21,0.159,0.057,0.203,0.132,0.129,0.152,0.239,0.184,0.193
543,0.134,0.137,0.21,0.158,0.056,0.203,0.131,0.129,0.151,0.238,0.184,0.192
544,0.134,0.137,0.209,0.158,0.056,0.202,0.131,0.129,0.151,0.238,0.183,0.192
545,0.133,0.136,0.209,0.158,0.056,0.202,0.131,0.128,0.15,0.237,0.183,0.191
546,0.132,0.136,0.209,0.157,0.056,0.202,0.131,0.128,0.15,0.237,0.182,0.191
547,0.132,0.135,0.209,0.157,0.056,0.201,0.131,0.128,0.149,0.236,0.182,0.19
548,0.131,0.135,0.209,0.157,0.055,0.201,0.13,0.127,0.149,0.236,0.181,0.19
549,0.131,0.134,0.209,0.157,0.055,0.2,0.13,0.127,0.148,0.235,0.18,0.189
550,0.13,0.134,0.209,0.156,0.055,0.2,0.13,0.126,0.147,0.235,0.18,0.188
551,0.13,0.133,0.209,0.156,0.055,0.2,0.13,0.125,0.147,0.234,0.179,0.188
552,0.129,0.133,0.209,0.156,0.054,0.2,0.129,0.125,0.146,0.234,0.179,0.187
553,0.129,0.133,0.209,0.156,0.054,0.199,0.129,0.124,0.146,0.233,0.178,0.187
554,0.128,0.132,0.21,0.156,0.054,0.199,0.129,0.123,0.145,0.233,0.178,0.186
555,0.128,0.132,0.21,0.155,0.054,0.198,0.129,0.123,0.145,0.232,0.177,0.186
556,0.127,0.131,0.21,0.155,0.053,0.198,0.128,0.122,0.144,0.232,0.177,0.185
557,0.127,0.131,0.21,0.155,0.053,0.198,0.128,0.121,0.144,0.232,0.176,0.184
558,0.127,0.131,0.21,0.154,0.053,0.197,0.128,0.12,0.143,0.231,0.176,0.184
559,0.126,0.13,0.211,0.154,0.053,0.197,0.127,0.12,0.143,0.231,0.175,0.183
560,0.126,0.13,0.211,0.154,0.053,0.196,0.127,0.119,0.142,0.231,0.175,0.183
561,0.125,0.13,0.211,0.154,0.053,0.196,0.127,0.118,0.142,0.231,0.174,0.182
562,0.125,0.13,0.212,0.154,0.052,0.195,0.126,0.117,0.141,0.23,0.173,0.182
563,0.125,0.13,0.212,0.154,0.052,0.195,0.126,0.117,0.141,0.23,0.173,0.181
564,0.125,0.129,0.213,0.153,0.052,0.195,0.126,0.116,0.14,0.23,0.173,0.181
565,0.124,0.129,0.213,0.153,0.052,0.194,0.126,0.115,0.14,0.23,0.172,0.18
566,0.124,0.129,0.213,0.153,0.052,0.194,0.125,0.114,0.139,0.23,0.171,0.18
567,0.124,0.129,0.214,0.153,0.052,0.194,0.125,0.114,0.139,0.23,0.171,0.179
568,0.123,0.129,0.214,0.153,0.052,0.193,0.125,0.113,0.138,0.23,0.171,0.179
569,0.123,0.129,0.215,0.153,0.052,0.193,0.125,0.112,0.138,0.23,0.17,0.178
570,0.123,0.129,0.215,0.153,0.052,0.192,0.125,0.112,0.137,0.23,0.169,0.178
571,0.123,0.129,0.216,0.153,0.052,0.192,0.125,0.111,0.137,0.23,0.169,0.177
572,0.123,0.129,0.216,0.153,0.052,0.192,0.124,0.111,0.136,0.229,0.169,0.177
573,0.122,0.129,0.217,0.153,0.052,0.191,0.124,0.11,0.136,0.229,0.168,0.176
574,0.122,0.129,0.217,0.153,0.052,0.191,0.124,0.109,0.135,0.229,0.167,0.176
575,0.122,0.129,0.218,0.153,0.052,0.191,0.124,0.109,0.135,0.229,0.167,0.175
576,0.122,0.129,0.218,0.153,0.052,0.19,0.124,0.108,0.135,0.228,0.166,0.175
577,0.122,0.129,0.218,0.153,0.053,0.19,0.124,0.108,0.134,0.228,0.166,0.174
578,0.122,0.129,0.219,0.153,0.053,0.19,0.124,0.108,0.134,0.228,0.166,0.174
579,0.122,0.129,0.219,0.153,0.053,0.189,0.124,0.107,0.133,0.227,0.165,0.173
580,0.122,0.129,0.22,0.153,0.053,0.189,0.124,0.107,0.133,0.227,0.165,0.173
581,0.121,0.129,0.22,0.153,0.053,0.189,0.124,0.107,0.132,0.226,0.164,0.172
582,0.121,0.129,0.22,0.153,0.054,0.189,0.124,0.106,0.132,0.225,0.164,0.172
583,0.121,0.129,0.221,0.153,0.054,0.188,0.124,0.106,0.132,0.224,0.163,0.171
584,0.121,0.129,0.221,0.153,0.054,0.188,0.124,0.106,0.131,0.223,0.163,0.171
585,0.121,0.13,0.222,0.153,0.054,0.188,0.124,0.106,0.131,0.223,0.162,0.17
586,0.121,0.13,0.222,0.153,0.054,0.188,0.124,0.106,0.13,0.221,0.162,0.17
587,0.121,0.13,0.222,0.153,0.054,0.187,0.124,0.106,0.13,0.22,0.161,0.169
588,0.121,0.13,0.223,0.153,0.054,0.187,0.125,0.106,0.129,0.219,0.161,0.169
589,0.121,0.13,0.223,0.153,0.054,0.187,0.125,0.106,0.129,0.219,0.16,0.168
590,0.121,0.13,0.224,0.153,0.054,0.187,0.125,0.106,0.128,0.218,0.16,0.168
591,0.121,0.13,0.224,0.153,0.054,0.187,0.125,0.106,0.128,0.217,0.159,0.167
592,0.121,0.13,0.225,0.153,0.055,0.186,0.125,0.106,0.127,0.216,0.159,0.167
593,0.12,0.13,0.225,0.153,0.055,0.186,0.125,0.106,0.127,0.215,0.158,0.166
594,0.12,0.13,0.226,0.153,0.055,0.186,0.125,0.106,0.126,0.214,0.158,0.166
595,0.12,0.13,0.226,0.153,0.055,0.186,0.125,0.106,0.126,0.213,0.158,0.165
596,0.12,0.13,0.227,0.153,0.055,0.186,0.125,0.106,0.126,0.212,0.157,0.165
597,0.12,0.13,0.228,0.153,0.055,0.185,0.125,0.106,0.125,0.211,0.157,0.164
598,0.12,0.13,0.228,0.153,0.055,0.185,0.125,0.106,0.125,0.21,0.156,0.164
599,0.12,0.131,0.229,0.154,0.055,0.185,0.125,0.105,0.124,0.21,0.156,0.164
600,0.12,0.131,0.229,0.154,0.055,0.185,0.125,0.105,0.124,0.209,0.155,0.163
601,0.12,0.131,0.23,0.154,0.055,0.184,0.124,0.104,0.123,0.208,0.155,0.163
602,0.12,0.131,0.23,0.154,0.055,0.184,0.124,0.103,0.123,0.207,0.154,0.162
603,0.12,0.131,0.231,0.154,0.055,0.184,0.124,0.102,0.123,0.206,0.154,0.162
